area,baths,beds,City,Zipcode,Price,Age
1101.0,2.0,2.0,Seattle,98146,625000,48
1840.0,2.0,3.0,Seattle,98146,834000,34
1630.0,3.0,3.0,Seattle,98146,625000,41
1590.0,2.0,3.0,Seattle,98146,570000,40
740.0,1.0,2.0,Seattle,98146,598000,45
1758.0,2.0,3.0,Seattle,98146,675000,30
2000.0,2.0,4.0,Seattle,98146,600000,50
1630.0,3.0,3.0,Seattle,98146,500000,50
0.0,,,Seattle,98146,2750000,48
4357.0,4.0,5.0,Seattle,98146,2185000,43
1930.0,3.0,4.0,Seattle,98146,765000,40
1066.0,2.0,2.0,Seattle,98146,324500,57
800.0,2.0,2.0,Seattle,98146,449900,39
2000.0,1.0,3.0,Seattle,98146,599900,48
1420.0,1.0,3.0,Seattle,98146,360000,38
2600.0,3.0,3.0,Seattle,98146,1156000,30
2220.0,2.0,4.0,Seattle,98146,757500,48
5224.0,,,Seattle,98146,1115000,60
1640.0,2.0,3.0,Seattle,98146,479000,44
,,,Seattle,98146,225000,32
3444.0,5.0,8.0,Seattle,98144,2260000,37
0.0,,,Seattle,98144,515000,52
1578.0,3.0,3.0,Seattle,98144,1069900,53
2420.0,2.0,3.0,Seattle,98144,600000,48
864.0,2.0,2.0,Seattle,98144,412000,44
2390.0,3.0,4.0,Seattle,98144,1079000,44
,,,Seattle,98144,629000,46
2840.0,4.0,4.0,Seattle,98144,1250000,60
1170.0,3.0,2.0,Seattle,98144,632000,34
1117.0,2.0,2.0,Seattle,98144,629000,44
1650.0,2.0,4.0,Seattle,98144,915000,35
1023.0,2.0,2.0,Seattle,98144,585000,53
2320.0,3.0,4.0,Seattle,98144,1200000,40
736.0,1.0,2.0,Seattle,98144,510000,37
1840.0,2.0,3.0,Seattle,98144,1119000,51
1330.0,2.0,3.0,Seattle,98144,675000,46
1760.0,2.0,2.0,Seattle,98144,810000,57
3340.0,4.0,5.0,Seattle,98144,2550000,33
1970.0,2.0,4.0,Seattle,98144,1100000,37
1980.0,2.0,4.0,Seattle,98144,900000,50
3300.0,4.0,5.0,Seattle,98144,1795000,44
5620.0,4.0,5.0,Seattle,98144,3465000,58
1800.0,3.0,3.0,Seattle,98144,1020000,31
1400.0,3.0,3.0,Seattle,98144,668000,48
1520.0,3.0,3.0,Seattle,98144,785000,37
2121.0,4.0,4.0,Seattle,98144,1101000,51
1500.0,2.0,3.0,Seattle,98144,798000,51
2980.0,4.0,4.0,Seattle,98144,1650000,51
884.0,1.0,2.0,Seattle,98144,345000,49
1400.0,2.0,3.0,Seattle,98144,815000,32
4550.0,5.0,4.0,Seattle,98144,8000000,57
941.0,,,Seattle,98144,368000,49
1434.0,3.0,2.0,Seattle,98144,710000,60
1450.0,2.5,3.0,Seattle,98144,710000,31
941.0,2.0,1.0,Seattle,98144,368000,42
1840.0,2.0,3.0,Seattle,98144,770000,31
1510.0,2.0,4.0,Seattle,98144,905000,58
1666.0,2.0,3.0,Seattle,98144,880000,51
2590.0,2.0,3.0,Seattle,98144,720000,33
1000.0,1.0,2.0,Seattle,98144,775000,35
3375.0,3.0,5.0,Seattle,98178,1350000,36
0.0,,,Seattle,98178,270000,42
2050.0,2.0,4.0,Seattle,98178,630000,33
1220.0,2.0,4.0,Seattle,98178,547000,33
0.0,,,Seattle,98178,340000,58
1760.0,2.0,4.0,Seattle,98178,680000,60
1500.0,3.0,3.0,Seattle,98178,595000,43
2660.0,2.0,3.0,Seattle,98178,615000,45
1310.0,1.0,3.0,Seattle,98178,420000,54
2420.0,3.0,6.0,Seattle,98178,750000,31
1430.0,1.5,1.0,Seattle,98178,370000,60
4020.0,4.0,6.0,Seattle,98178,1060000,53
2120.0,2.0,3.0,Seattle,98178,1186000,32
1580.0,2.0,5.0,Seattle,98178,465000,34
1312.0,3.0,3.0,Seattle,98178,589000,47
2020.0,1.5,3.0,Seattle,98178,620000,41
2620.0,4.0,3.0,Seattle,98178,1155000,57
816.0,1.0,1.0,Seattle,98178,180000,35
700.0,1.0,2.0,Seattle,98178,485000,31
3070.0,4.0,5.0,Seattle,98178,1049000,43
2904.0,2.75,5.0,Seattle,98178,935000,40
2830.0,3.0,4.0,Seattle,98178,1000000,57
1550.0,1.75,3.0,Seattle,98178,550000,30
2020.0,3.0,4.0,Seattle,98178,695000,51
860.0,2.0,3.0,Seattle,98178,615000,37
1900.0,2.0,5.0,Seattle,98178,650000,33
1950.0,2.0,3.0,Seattle,98178,760000,45
2050.0,4.0,3.0,Seattle,98178,760000,47
991.0,2.0,3.0,Seattle,98178,690000,38
1620.0,2.0,3.0,Seattle,98178,655000,34
2720.0,2.0,4.0,Seattle,98178,1159000,59
3060.0,3.0,4.0,Seattle,98178,575000,31
1580.0,2.0,3.0,Seattle,98178,625000,59
2060.0,2.0,5.0,Seattle,98178,750000,54
1700.0,2.5,4.0,Seattle,98199,550000,35
760.0,1.0,2.0,Seattle,98199,1106000,35
2730.0,3.0,3.0,Seattle,98199,1875000,60
2760.0,3.0,3.0,Seattle,98199,1480000,56
1200.0,2.0,2.0,Seattle,98199,545000,39
1180.0,1.0,2.0,Seattle,98199,750000,39
1600.0,1.0,2.0,Seattle,98199,850000,51
1310.0,2.0,3.0,Seattle,98199,750000,39
2590.0,3.0,4.0,Seattle,98199,1395000,59
1014.0,1.0,2.0,Seattle,98199,490000,38
1100.0,1.0,2.0,Seattle,98199,895000,31
1775.0,3.0,3.0,Seattle,98199,1099000,37
2260.0,2.0,4.0,Seattle,98199,1500000,55
930.0,2.0,2.0,Seattle,98199,560000,30
